File Name,k-eff_o,std_o,k-eff__m,std_m,k-eff_bench,std_bench,k_normalized,std_normalized,geometry,therm fiss,int fiss,fast fiss, above therm fiss, Avg E, Avg leth causing fiss
HEU-MET-FAST-079-002,0.99910,0.00009,0.999095,8.63702e-05,0.9996,0.0014,0.99949,0.001402,Cylinder,0.00,5.48,94.52,100.0,1448900.0,813340.0
HEU-MET-FAST-078-013,0.99750,0.00010,0.997503,0.000103131,1,0.0017,0.9975,0.001698,Cylinder,10.18,14.31,75.52,89.82,1197300.0,72324.0
MIX-MET-FAST-001,0.99940,0.00009,0.999403,8.57466e-05,1,0.0016,0.9994,0.001601,Sphere,0.00,3.03,96.97,100.0,1778600.0,1106200.0
U233-SOL-THERM-016-027,1.00359,0.00015,1.00359,0.000149099,0.9988,0.0037,1.00479,0.003725,Cylinder,85.41,13.83,0.75,14.59,13047.0,0.08063300000000001
U233-SOL-THERM-015-014,0.99882,0.00015,0.998817,0.00014912,1,0.0036,0.99882,0.003598,Sphere,63.70,33.63,2.67,36.3,44791.0,0.46437
LEU-COMP-THERM-060-005,1.00136,0.00009,1.00136,9.46822e-05,1.0017,0,0.99966,9.452151,Lattice,90.58,5.64,3.78,9.42,106400.0,0.10977999999999999
HEU-MET-FAST-066-005,1.00442,0.00011,1.00442,0.000105784,1.003,0.0033,1.00141,0.003296,Sphere,0.84,25.43,73.73,99.16,1027600.0000000001,213110.0
HEU-MET-FAST-088-002,0.99671,0.00011,0.996705,0.000108418,0.9993,0.0007,0.99740,0.000707,Cylinder,23.94,28.11,47.95,76.06,761980.0,2143.2000000000003
HEU-MET-FAST-055,0.99839,0.00008,0.998385,8.48822e-05,0.9955,0.0028,1.00290,0.002822,Cylinder,0.00,22.34,77.66,100.0,999110.0,371260.0
U233-SOL-INTER-001-013,0.98269,0.00015,0.982694,0.000153648,1,0.0071,0.98269,0.006978,Sphere,34.28,59.71,6.01,65.72,97247.0,5.122199999999999
PU-SOL-THERM-003-008,1.00569,0.00012,1.00569,0.000117576,1,0.0047,1.00569,0.004728,Sphere,96.73,2.91,0.37,3.27,6995.8,0.059058
LEU-COMP-THERM-079-007,0.99776,0.00011,0.997761,0.000105365,1.0003,0.0008,0.99746,0.000804,Lattice,90.73,5.59,3.68,9.27,106050.0,0.10987000000000001
PU-MET-FAST-016-003,1.00531,0.00011,1.00531,0.000112006,1,0.0033,1.00531,0.003319,Cylinder (array),24.39,11.70,63.91,75.61,1244400.0,7727.099999999999
MIX-MET-FAST-007-012,1.00241,0.00009,1.00241,9.25289e-05,1,0.003,1.00241,0.003008,Sphere,0.00,5.84,94.16,100.0,1565500.0,874060.0
HEU-MET-FAST-077-001,1.00060,0.00010,1.0006,0.00010285,1.0001,0.0031,1.00049,0.003102,Sphere,1.71,22.58,75.72,98.29,1079000.0,200790.0
U233-SOL-THERM-005-001,1.00192,0.00013,1.00192,0.000130221,1,0.004,1.00192,0.004009,Sphere,89.00,10.45,0.54,11.0,9397.5,0.061726
LEU-SOL-THERM-021-004,0.99942,0.00007,0.999416,7.22375e-05,0.9993,0.0012,1.00012,0.001203,Cylinder,97.38,2.15,0.47,2.62,12756.0,0.035267
PU-SOL-THERM-018-009,1.00201,0.00010,1.00201,9.90462e-05,1,0.0034,1.00201,0.003408,Cylinder,96.42,3.12,0.45,3.58,9512.6,0.056007
