File Name,k-eff_o,std_o,therm fiss,int fiss,fast fiss,above therm fiss, Avg E, Avg leth causing fiss
pu-sol-therm-032-002,1.00321,0.00012,94.84,4.55,0.61,5.16,11723,0.072291
pu-sol-therm-006-001,0.98927,0.00072,97.48,2.25,0.27,2.52,5218.8,0.047897
pu-sol-therm-005-001,0.9952,0.00073,97.24,2.45,0.31,2.76,5747.8,0.050256
pu-sol-therm-010-005,1.01226,0.00012,95.96,3.58,0.46,4.04,8818.1,0.061746
pu-sol-therm-004-010,0.99983,0.00077,96.55,3.07,0.38,3.45,7326.9,0.056408
pu-sol-therm-034-004,0.98815,0.00011,87.82,10.74,1.45,12.18,27851,0.19521
pu-sol-therm-001-006,1.03997,0.00092,82.76,14.78,2.46,17.24,46584,0.27669
pu-sol-therm-003-006,1.01055,0.00087,95.97,3.58,0.45,4.03,8553.2,0.061289
pu-sol-therm-018-009,1.00265,0.0001,96.48,3.07,0.45,3.52,9462,0.051779
pu-sol-therm-010-010,1.0073,0.00012,95.91,3.62,0.47,4.09,9013.9,0.062083
pu-sol-therm-010-012,1.01076,0.00012,96.33,3.26,0.42,3.67,7949.2,0.058195
pu-sol-therm-010-008,1.00366,0.00011,96.46,3.14,0.4,3.54,7512.4,0.057147
pu-sol-therm-010-009,1.02544,0.00012,95.03,4.39,0.59,4.97,11211,0.070549
pu-sol-therm-032-003,1.00184,0.00012,95.36,4.1,0.54,4.64,10432,0.067152
